Title;FirstName;id_user;New codes
;Dypro Jarle;4A60425C000000;361824650
;T 31 Leil 102;AAA0425C000000;361841130
;T 31 Leil 103;A4BD3C46000000;798048548
;T 31 Leil 103;6A53385A000000;309621354
;T 31 Leil 102;C4CE3C46000000;798052932
;T 31 Leil 104;AA8F435C000000;361936778
;T 31 Leil 104;94C03C46000000;798049300
;T 31 Leil 105;FA79425C000000;361831226
;T 31 Leil 105;5AA8425C000000;361843098
;T 31 Leil 201;B4A23E46000000;798241652
;T 31 Leil 201;74AF3E46000000;798244916
;T 31 Leil 202;2A65385A000000;309625898
;T 31 Leil 202;2A83385A000000;309633578
;Dypro Arnt;1A85385A000000;309634074
;Dypro Hans;CA835F5A000000;313533738
;Dypro Lilly;;
;T 31 Leil 203;54BB3C46000000;798047956
;T 31 Leil 203;14AF3C46000000;798044820
;T 31 Leil 204;B47CC44A000000;914031924
;T 31 Leil 204;B493C44A000000;914037812
;T 31 Leil 205;944AC44A000000;914019092
;T 31 Leil 205;94C3C44A000000;914050068
;T 31 Leil 206;54A1C44A000000;914041300
;T 31 Leil 207;B4C93C46000000;798051636
;T 31 Leil 207;4499C44A000000;914039236
;T 31 Leil 208;B4B23C46000000;798045748
;T 31 Leil 208;4A2C425C000000;361811338
;Dypro Tone;EA3B385A000000;309615338
;Dypro PŒl;2A7B385A000000;309631530
;Dypro Pawel;CA81425C000000;361833226
;T 31 Leil 301;2AC5435C000000;361950474
;T 31 Leil 301;7A29425C000000;361810618
;T 31 Leil 302;1A2A425C000000;361810778
;T 31 Leil 302;2AC0435C000000;361949194
;T 31 Leil 303;74EB3B46000000;797960276
;T 31 Leil 303;AA51425C000000;361820906
;T 31 Leil 304;B4613C46000000;798025012
;T 31 Leil 304;AA42425C000000;361817066
;T 31 Leil 305;4A3A425C000000;361814922
;T 31 Leil 305;AA46425C000000;361818090
;T 31 Leil 306;44503C46000000;798020548
;T 31 Leil 306;6A9F435C000000;361940810
;T 31 Leil 307;44333F46000000;798313124
;T 31 Leil 307;5A80385A000000;309632858
;T 31 Leil 308;AA81385A000000;309633194
;T 31 Leil 308;AAA6435C000000;361942666
;T 31 Leil 401;94423F46000000;798317044
;T 31 Leil 401;942D3F46000000;798311668
;T 31 Leil 402;CAAD425C000000;361844490
;T 31 Leil 402;8AB0435C000000;361945194
;T 31 Leil 403;24523C46000000;798021028
;T 31 Leil 403;0494C44A000000;914037892
;T 31 Leil 404;64BFC44A000000;914048996
;T 31 Leil 404;E460C44A000000;914024804
;T 31 Leil 405;948EC44A000000;914036500
;T 31 Leil 405;B4D1C44A000000;914053684
;T 31 Leil 406;1453C44A000000;914021268
;T 31 Leil 407;8448C44A000000;914018564
;T 31 Leil 407;443DC44A000000;914015684
;T 31 Leil 408;DAAF435C000000;361945018
;T 31 Leil 408;942A3F46000000;798310900
;T 31 Leil 501;EA835F5A000000;313533770
;T 31 Leil 502;64C33C46000000;798050020
;T 31 Leil 503;7AAF435C000000;361944922
;T 31 Leil 502;34B33C46000000;798045876
;T 31 Leil 503;4A9C435C000000;361940010
;T 31 Leil 504;FA52435C000000;361921242
;T 31 Leil 504;84543C46000000;798021636
;T 31 Leil 505;0A9C435C000000;361939946
;T 31 Leil 505;EA8F425C000000;361836842
;T 31 Leil 506;CAC0435C000000;361949354
;T 31 Leil 506;8A49385A000000;309618826
;T 31 Leil 507;3AB0435C000000;361945114
;T 31 Leil 507;2ABE5F5A000000;313548682
;T 31 Leil 508;8A6A425C000000;361827274
;T 31 Leil 508;4A5B425C000000;361823370
;T 31 Leil 601;B4DBC44A000000;914056244
;T 31 Leil 601;749BC44A000000;914039796
;T 31 Leil 602;74C93C46000000;798051572
;T 31 Leil 602;AA58425C000000;361822698
;T 31 Leil 603;5A70425C000000;361828762
;T 31 Leil 603;6A4C385A000000;309619562
;Dypro Erik;EA3A425C000000;361815082
;Dypro Halvard;EAAC425C000000;361844266
;T 31 Leil 503;6A76385A000000;309630314
;T 31 Leil 601;;
;T 31 Leil 601;8A2B425C000000;361811146
;T 31 Leil 601;;
;T 31 Leil 601;64B33C46000000;798045924
;T 31 Leil 601;;
;T 31 Leil 402;2A68385A000000;309626666
;T 31 Leil 502;2A56385A000000;309622058
;T 31 garasjepl. 18;0A53425C000000;361821258
;T 31 garasjepl. 05;44C63C46000000;798050756
;T 31 garasjepl. 08;F464C44A000000;914025844
;T 31 garasjepl. 09;94BBC44A000000;914048020
;T 31 garasjepl. 12;74ADC44A000000;914044404
;T 31 garasjepl. 13;E446C44A000000;914018148
;T 31 garasjepl. 14;B4B13C46000000;798045492
;T 31 garasjepl. 15;94553C46000000;798021908
;T 31 garasjepl. 20;B4CBC44A000000;914052148
;T 31 Leil 303;0AA8425C000000;361843018
;T 31 Leil 303;84D1C44A000000;914053636
;T 31 Leil 208;44B3C44A000000;914045892
;T 31 Leil 208;945A3C46000000;798023188
;T 31 Leil 208;246FC44A000000;914028452
;T 31 garasjepl. 08;94B5C44A000000;914046484
;T 31 garasjepl. 15;EA77385A000000;309630698
;T 31 Leil 203;B4A9C44A000000;914043444
;T 31 Leil 203;14D9C44A000000;914055572
;Dypro Vaktmester T31;149FC44A000000;914040724
;T 31 Leil 304;A4DBC44A000000;914056228
;T 31 Leil 304;3465C44A000000;914025908
;Dypro HŒndverker;DA945F5A000000;313538106
;Dypro Eivind Myhre;04603C46000000;798024580
;T 31 Leil 501;94573C46000000;798022420
;T 31 Aftenposten;44613C46000000;798024900
;T 31 Aftenposten;74BB3C46000000;798047988
;T 31 Aftenposten;24203F46000000;179838228
;Dypro Portpartner;0A32385A000000;309612810
;T 31 garasjepl. 05;CA69385A000000;309627082
;Dypro;B45B3C46000000;798023476
;Netcom;0485C44A000000;914034052
;Netcom;844CC44A000000;914019588
;Netcom;C44EC44A000000;914020164
;T 47 Leil 209;049BC6D3000000;421439684
;T 47 Leil 209;D4D3C6D3000000;421454228
;T 47 Leil 210;D48BC6D3000000;421435796
;T 47 Leil 210;E49EC6D3000000;421440676
;T 47 Leil 211;B45CC6D3000000;421423732
;T 47 Leil 211;8414C7D3000000;542155252
;T 47 Leil 212;54E5C6D3000000;421458708
;T 47 Leil 212;8499C6D3000000;421439300
;T 47 Leil 213;6400B855000000;21944100
;T 47 Leil 213;34B6C6D3000000;421446644
;T 47 Leil 214;94DEC6D3000000;421456980
;T 47 Leil 214;649AC6D3000000;421439524
;T 47 Leil 215;3498C6D3000000;421438964
;T 47 Leil 215;54CAC6D3000000;421451796
;T 47 Leil 216;B4C4C6D3000000;421450356
;T 47 Leil 216;E445B855000000;194417892
;T 47 Leil 217;C4CBC6D3000000;421452164
;T 47 Leil 217;4430B855000000;194412356
;T 47 Leil 218;542AB855000000;194410836
;T 47 Leil 218;04B4C6D3000000;421446084
;T 47 Leil 219;74C6C6D3000000;421450804
;T 47 Leil 219;04DEC6D3000000;421456836
;T 47 Leil 220;8436B855000000;194413956
;T 47 Leil 220;54ACC6D3000000;421444116
;T 47 Leil 309;643EB855000000;194415972
;T 47 Leil 309;A4A4C6D3000000;421442148
;T 47 Leil 310;C4AEC6D3000000;421444740
;T 47 Leil 310;84BDC6D3000000;421448516
;T 47 Leil 311;1433B855000000;194413076
;T 47 Leil 312;744CC6D3000000;421419572
;T 47 Leil 313;A4A7C6D3000000;421442916
;T 47 Leil 313;648FC6D3000000;421436708
;T 47 Leil 314;0477C6D3000000;421430468
;T 47 Leil 314;54B3C6D3000000;421445908
;T 47 Leil 315;6425B855000000;219449572
;T 47 Leil 315;B4CDC6D3000000;421452660
;T 47 Leil 316;8486C6D3000000;421434436
;T 47 Leil 316;942BB855000000;194411156
;T 47 Leil 317;44CCC6D3000000;421452292
;T 47 Leil 317;94E6C6D3000000;421459028
;T 47 Leil 318;04B5BDD3000000;420546340
;T 47 Leil 318;2462C6D3000000;421425124
